Year,Month,Match,Player Name,Club Name,country Name,Position,Jersey_No,Nationality,apperances,goals scored,goals assist,total shots,shots on target,fouls made,goals saved,goals conceded(stopped),total penalty,successful penalty,salary
2010,January,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,8,3,67,49,8,29,23,2,1,2424.88
2010,February,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,8,77,44,3,19,21,0,0,2424.88
2010,March,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,5,59,45,11,26,15,0,0,2424.88
2010,April,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,10,8,71,50,7,18,30,3,3,2424.88
2010,May,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,10,3,80,45,12,25,25,5,3,2424.88
2010,June,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,8,63,35,11,16,16,0,0,2424.88
2010,July,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,2,75,47,7,22,23,0,0,2424.88
2010,August,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,7,71,31,12,28,20,0,0,2424.88
2010,September,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,8,8,54,38,7,17,14,2,1,2424.88
2010,October,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,1,70,39,12,21,25,0,0,2424.88
2010,November,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,8,56,46,9,20,24,0,0,2424.88
2010,December,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,9,8,78,46,12,21,11,3,2,2424.88
2011,January,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,6,50,49,3,25,17,1,0,4234.00
2011,February,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,3,1,55,49,7,29,17,3,1,4234.00
2011,March,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,4,8,72,49,8,27,26,4,2,4234.00
2011,April,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,4,3,75,31,8,23,10,3,2,4234.00
2011,May,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,3,8,56,33,10,13,11,3,1,4234.00
2011,June,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,8,51,45,3,30,28,4,3,4234.00
2011,July,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,7,52,44,9,23,28,5,3,4234.00
2011,August,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,2,2,60,33,7,30,14,3,0,4234.00
2011,September,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,2,1,77,47,1,14,18,1,0,4234.00
2011,October,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,3,7,71,32,0,28,23,2,1,4234.00
2011,November,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,2,2,56,30,10,20,23,1,0,4234.00
2011,December,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,7,75,43,0,17,25,5,3,4234.00
2012,January,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,8,1,76,42,6,24,10,9,6,3953.88
2012,February,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,7,1,61,49,3,16,19,5,5,3953.88
2012,March,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,8,4,58,42,5,18,12,8,6,3953.88
2012,April,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,4,8,56,35,10,21,14,2,2,3953.88
2012,May,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,4,4,65,40,5,25,26,8,2,3953.88
2012,June,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,8,64,39,3,23,12,9,3,3953.88
2012,July,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,2,70,40,10,20,15,10,3,3953.88
2012,August,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,4,5,78,49,1,20,18,6,2,3953.88
2012,September,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,3,72,49,6,20,11,6,3,3953.88
2012,October,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,2,2,58,46,8,19,24,7,0,3953.88
2012,November,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,2,5,80,43,7,13,12,2,0,3953.88
2012,December,International,Adrian,NA,Netherlands,LW,88,Netherlands,8,5,8,78,33,0,29,18,3,3,3953.88
2010,January,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,5,1,59,44,3,10,13,2,2,4234.00
2010,February,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,0,8,59,48,2,27,24,3,2,4234.00
2010,March,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,2,2,80,44,9,12,17,1,1,4234.00
2010,April,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,8,2,64,34,3,21,16,6,6,4234.00
2010,May,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,0,5,76,50,8,19,21,3,3,4234.00
2010,June,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,1,3,51,41,7,10,15,9,9,4234.00
2010,July,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,7,2,77,48,1,28,21,9,8,4234.00
2010,August,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,6,2,71,48,3,29,17,1,1,4234.00
2010,September,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,6,1,57,30,7,19,27,6,6,4234.00
2010,October,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,5,4,60,38,10,17,28,9,9,4234.00
2010,November,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,3,3,64,40,9,16,13,0,0,4234.00
2010,December,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,1,5,69,30,3,30,20,2,2,4234.00
2011,January,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,7,1,75,47,10,17,28,4,2,3953.88
2011,February,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,7,7,70,33,2,11,29,6,1,3953.88
2011,March,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,18,1,73,39,0,22,16,3,2,3953.88
2011,April,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,11,8,76,36,5,18,26,10,10,3953.88
2011,May,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,5,5,79,37,1,16,29,3,2,3953.88
2011,June,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,19,6,52,43,0,14,11,11,10,3953.88
2011,July,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,7,7,61,36,7,20,22,1,0,3953.88
2011,August,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,11,4,63,32,3,25,14,9,2,3953.88
2011,September,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,6,1,64,35,10,26,26,4,2,3953.88
2011,October,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,7,5,61,32,0,26,11,4,3,3953.88
2011,November,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,11,5,56,43,2,18,18,8,6,3953.88
2011,December,Club,Adrian,Real Sociedad,NA,LW,88,Netherlands,8,13,1,59,40,4,10,17,10,3,3953.88
2012,January,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,8,5,59,32,5,26,30,6,4,2424.88
2012,February,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,4,7,73,36,8,14,30,1,0,2424.88
2012,March,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,6,4,61,40,7,14,14,5,2,2424.88
2012,April,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,13,3,62,35,3,28,21,10,9,2424.88
2012,May,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,5,3,55,32,0,15,20,1,1,2424.88
2012,June,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,9,1,52,38,8,29,10,7,5,2424.88
2012,July,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,11,3,77,41,6,12,27,9,7,2424.88
2012,August,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,7,3,53,43,7,21,10,4,3,2424.88
2012,September,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,6,3,54,40,6,14,16,2,2,2424.88
2012,October,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,4,8,62,42,4,12,28,3,0,2424.88
2012,November,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,5,8,79,49,1,15,11,7,1,2424.88
2012,December,Club,Adrian,Real Madrid,NA,LW,88,Netherlands,8,5,2,66,50,5,14,21,1,1,2424.88
2010,January,International,Aguero,NA,Italy,F,51,Italy,8,10,1,75,41,5,17,14,4,3,3770.91
2010,February,International,Aguero,NA,Italy,F,51,Italy,8,7,4,73,34,10,17,11,0,0,3770.91
2010,March,International,Aguero,NA,Italy,F,51,Italy,8,7,2,70,41,6,21,27,0,0,3770.91
2010,April,International,Aguero,NA,Italy,F,51,Italy,8,10,2,51,38,11,10,16,3,3,3770.91
2010,May,International,Aguero,NA,Italy,F,51,Italy,8,7,8,79,50,13,17,20,0,0,3770.91
2010,June,International,Aguero,NA,Italy,F,51,Italy,8,10,2,72,33,12,10,10,4,3,3770.91
2010,July,International,Aguero,NA,Italy,F,51,Italy,8,7,2,52,45,4,21,30,0,0,3770.91
2010,August,International,Aguero,NA,Italy,F,51,Italy,8,7,4,64,36,13,24,28,0,0,3770.91
2010,September,International,Aguero,NA,Italy,F,51,Italy,8,7,5,57,49,5,13,11,0,0,3770.91
2010,October,International,Aguero,NA,Italy,F,51,Italy,8,7,7,71,46,13,24,28,0,0,3770.91
2010,November,International,Aguero,NA,Italy,F,51,Italy,8,7,3,79,38,12,14,28,0,0,3770.91
2010,December,International,Aguero,NA,Italy,F,51,Italy,8,7,2,50,38,12,24,15,3,0,3770.91
2011,January,International,Aguero,NA,Italy,F,51,Italy,8,6,8,60,50,2,25,26,3,1,6000.00
2011,February,International,Aguero,NA,Italy,F,51,Italy,8,5,7,60,50,3,28,14,3,2,6000.00
2011,March,International,Aguero,NA,Italy,F,51,Italy,8,2,5,62,50,9,26,29,1,0,6000.00
2011,April,International,Aguero,NA,Italy,F,51,Italy,8,4,2,60,47,8,28,16,4,2,6000.00
2011,May,International,Aguero,NA,Italy,F,51,Italy,8,3,8,54,30,3,13,23,2,1,6000.00
2011,June,International,Aguero,NA,Italy,F,51,Italy,8,3,8,55,39,3,15,16,4,1,6000.00
2011,July,International,Aguero,NA,Italy,F,51,Italy,8,3,8,51,40,4,28,27,5,1,6000.00
2011,August,International,Aguero,NA,Italy,F,51,Italy,8,4,2,80,34,1,19,22,5,2,6000.00
2011,September,International,Aguero,NA,Italy,F,51,Italy,8,4,4,57,33,10,19,18,4,2,6000.00
2011,October,International,Aguero,NA,Italy,F,51,Italy,8,4,3,70,32,1,19,10,5,2,6000.00
2011,November,International,Aguero,NA,Italy,F,51,Italy,8,5,4,62,46,6,17,20,5,3,6000.00
2011,December,International,Aguero,NA,Italy,F,51,Italy,8,3,2,69,47,10,27,22,3,1,6000.00
2012,January,International,Aguero,NA,Italy,F,51,Italy,8,5,1,54,48,1,27,19,6,3,8770.91
2012,February,International,Aguero,NA,Italy,F,51,Italy,8,7,4,71,43,9,26,26,7,5,8770.91
2012,March,International,Aguero,NA,Italy,F,51,Italy,8,5,3,58,37,7,18,12,5,3,8770.91
2012,April,International,Aguero,NA,Italy,F,51,Italy,8,4,5,71,48,2,24,16,7,2,8770.91
2012,May,International,Aguero,NA,Italy,F,51,Italy,8,5,2,61,31,9,12,11,4,3,8770.91
2012,June,International,Aguero,NA,Italy,F,51,Italy,8,3,3,74,41,3,13,29,2,1,8770.91
2012,July,International,Aguero,NA,Italy,F,51,Italy,8,3,5,57,37,1,16,19,9,1,8770.91
2012,August,International,Aguero,NA,Italy,F,51,Italy,8,6,6,70,31,6,11,10,8,4,8770.91
2012,September,International,Aguero,NA,Italy,F,51,Italy,8,4,4,73,45,0,13,22,6,2,8770.91
2012,October,International,Aguero,NA,Italy,F,51,Italy,8,2,7,66,48,3,22,28,8,0,8770.91
2012,November,International,Aguero,NA,Italy,F,51,Italy,8,4,1,56,45,9,22,19,3,2,8770.91
2012,December,International,Aguero,NA,Italy,F,51,Italy,8,5,8,75,30,6,29,25,10,3,8770.91
2010,January,Club,Aguero,Valencia,NA,F,51,Italy,8,6,4,54,46,7,26,19,1,1,6000.00
2010,February,Club,Aguero,Valencia,NA,F,51,Italy,8,6,4,80,41,4,29,15,0,0,6000.00
2010,March,Club,Aguero,Valencia,NA,F,51,Italy,8,7,1,65,42,10,21,17,4,3,6000.00
2010,April,Club,Aguero,Valencia,NA,F,51,Italy,8,5,7,59,49,6,24,19,3,3,6000.00
2010,May,Club,Aguero,Valencia,NA,F,51,Italy,8,4,6,68,33,7,15,25,2,2,6000.00
2010,June,Club,Aguero,Valencia,NA,F,51,Italy,8,4,4,59,42,10,19,21,4,4,6000.00
2010,July,Club,Aguero,Valencia,NA,F,51,Italy,8,3,7,55,45,0,13,23,8,7,6000.00
2010,August,Club,Aguero,Valencia,NA,F,51,Italy,8,6,7,52,41,0,15,23,10,7,6000.00
2010,September,Club,Aguero,Valencia,NA,F,51,Italy,8,3,7,72,39,2,15,29,6,6,6000.00
2010,October,Club,Aguero,Valencia,NA,F,51,Italy,8,2,8,76,45,3,17,19,6,6,6000.00
2010,November,Club,Aguero,Valencia,NA,F,51,Italy,8,3,4,66,36,5,19,13,4,4,6000.00
2010,December,Club,Aguero,Valencia,NA,F,51,Italy,8,2,6,55,41,7,24,17,9,8,6000.00
2011,January,Club,Aguero,Valencia,NA,F,51,Italy,8,8,5,56,42,7,30,29,3,1,8770.91
2011,February,Club,Aguero,Valencia,NA,F,51,Italy,8,10,5,76,36,1,13,11,8,5,8770.91
2011,March,Club,Aguero,Valencia,NA,F,51,Italy,8,11,2,70,30,4,14,28,8,8,8770.91
2011,April,Club,Aguero,Valencia,NA,F,51,Italy,8,3,7,80,40,5,22,27,2,1,8770.91
2011,May,Club,Aguero,Valencia,NA,F,51,Italy,8,7,3,53,41,2,29,20,4,2,8770.91
2011,June,Club,Aguero,Valencia,NA,F,51,Italy,8,8,3,61,48,0,15,18,2,2,8770.91
2011,July,Club,Aguero,Valencia,NA,F,51,Italy,8,11,1,53,40,8,22,20,9,2,8770.91
2011,August,Club,Aguero,Valencia,NA,F,51,Italy,8,9,7,64,32,1,11,26,9,1,8770.91
2011,September,Club,Aguero,Valencia,NA,F,51,Italy,8,12,4,80,41,5,11,28,9,1,8770.91
2011,October,Club,Aguero,Valencia,NA,F,51,Italy,8,5,6,72,46,4,22,13,3,2,8770.91
2011,November,Club,Aguero,Valencia,NA,F,51,Italy,8,9,5,65,31,0,28,18,8,3,8770.91
2011,December,Club,Aguero,Valencia,NA,F,51,Italy,8,10,5,61,49,0,27,28,7,4,8770.91
2012,January,Club,Aguero,Sevilla FC,NA,F,51,Italy,8,4,7,53,34,0,23,21,4,0,3770.91
