Year,Match Name,League Name,Club Name,Coach,Country Name,Manager,Owner,appearances,wins,losts,drawn,Net Worth
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,1,5,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,1,1,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,1,1,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,4,3,1,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,3,3,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,0,2,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,3,0,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,4,2,2,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,3,0,745634.00
2010,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,1,0,745634.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,1,0,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,3,3,2,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,0,5,3,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,0,2,6,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,8,0,0,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,7,0,1,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,1,2,5,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,2,3,3,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,5,0,3,563466.00
2011,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,2,0,563466.00
2012,Club,LA Liga, Atheletico Madrid,NA,NA,Alvin Lucas,Dean Green,8,6,2,0,567856.00
